jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3412-LUSC.svs | ep 2 | R=1.232 | zoom=0.50 | lambda=0.768 | eps=0.875
TCGA-18-3412-LUSC.svs | ep 3 | R=1.697 | zoom=0.75 | lambda=0.770 | eps=0.874
TCGA-18-3412-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.765 | eps=0.873
TCGA-18-3412-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.760 | eps=0.873
TCGA-18-3412-LUSC.svs | ep 6 | R=1.480 | zoom=0.67 | lambda=0.762 | eps=0.872
TCGA-18-3412-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.757 | eps=0.871
TCGA-18-3412-LUSC.svs | ep 8 | R=0.973 | zoom=1.00 | lambda=0.762 | eps=0.869
TCGA-18-3412-LUSC.svs | ep 9 | R=1.715 | zoom=0.75 | lambda=0.764 | eps=0.868
TCGA-18-3412-LUSC.svs | ep 10 | R=1.236 | zoom=0.50 | lambda=0.764 | eps=0.867
TCGA-18-3412-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=0.759 | eps=0.866
TCGA-18-3412-LUSC.svs | ep 12 | R=1.482 | zoom=0.67 | lambda=0.761 | eps=0.865
TCGA-18-3412-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.756 | eps=0.865
TCGA-18-3412-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.751 | eps=0.864
TCGA-18-3412-LUSC.svs | ep 15 | R=1.249 | zoom=0.50 | lambda=0.751 | eps=0.863
TCGA-18-3412-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.746 | eps=0.863
TCGA-18-3412-LUSC.svs | ep 17 | R=1.017 | zoom=1.00 | lambda=0.751 | eps=0.861
TCGA-18-3412-LUSC.svs | ep 18 | R=1.498 | zoom=0.67 | lambda=0.753 | eps=0.860
TCGA-18-3412-LUSC.svs | ep 19 | R=1.247 | zoom=0.50 | lambda=0.753 | eps=0.859
TCGA-18-3412-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.748 | eps=0.859
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3414-LUSC.svs | ep 1 | R=1.757 | zoom=0.75 | lambda=0.750 | eps=0.857
TCGA-18-3414-LUSC.svs | ep 2 | R=1.500 | zoom=0.67 | lambda=0.752 | eps=0.856
TCGA-18-3414-LUSC.svs | ep 3 | R=1.497 | zoom=0.67 | lambda=0.753 | eps=0.854
TCGA-18-3414-LUSC.svs | ep 4 | R=1.247 | zoom=0.50 | lambda=0.753 | eps=0.853
TCGA-18-3414-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.748 | eps=0.853
TCGA-18-3414-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.743 | eps=0.853
TCGA-18-3414-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.738 | eps=0.852
TCGA-18-3414-LUSC.svs | ep 8 | R=1.785 | zoom=0.75 | lambda=0.741 | eps=0.850
TCGA-18-3414-LUSC.svs | ep 9 | R=1.259 | zoom=0.50 | lambda=0.741 | eps=0.850
TCGA-18-3414-LUSC.svs | ep 10 | R=1.518 | zoom=0.67 | lambda=0.743 | eps=0.848
TCGA-18-3414-LUSC.svs | ep 11 | R=1.030 | zoom=1.00 | lambda=0.748 | eps=0.847
TCGA-18-3414-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.743 | eps=0.846
TCGA-18-3414-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.738 | eps=0.846
TCGA-18-3414-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.733 | eps=0.845
TCGA-18-3414-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.728 | eps=0.845
TCGA-18-3414-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.723 | eps=0.844
