jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-18-3414-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.383 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.358 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.333 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.308 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 9 | R=2.767 | zoom=1.00 | lambda=0.333 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 10 | R=3.000 | zoom=0.75 | lambda=0.346 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 11 | R=2.308 | zoom=0.67 | lambda=0.354 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.329 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 13 | R=2.342 | zoom=0.67 | lambda=0.338 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.313 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.288 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 16 | R=1.712 | zoom=0.50 | lambda=0.288 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.263 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.238 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.213 | eps=1.000
TCGA-18-3414-LUSC.svs | ep 20 | R=1.000 | zoom=0.00 | lambda=0.188 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3417-LUSC.svs | ep 1 | R=1.812 | zoom=0.50 | lambda=0.188 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.163 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 3 | R=2.512 | zoom=1.00 | lambda=0.188 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 4 | R=1.000 | zoom=0.00 | lambda=0.163 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 5 | R=1.837 | zoom=0.50 | lambda=0.163 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 6 | R=2.675 | zoom=0.67 | lambda=0.171 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.146 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 8 | R=1.854 | zoom=0.50 | lambda=0.146 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 9 | R=1.854 | zoom=0.50 | lambda=0.146 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.121 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 11 | R=2.637 | zoom=1.00 | lambda=0.146 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=0.121 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.096 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 14 | R=1.904 | zoom=0.50 | lambda=0.096 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 15 | R=1.000 | zoom=0.00 | lambda=0.071 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=0.046 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=0.021 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-3417-LUSC.svs | ep 20 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-4083-LUSC.svs | ep 1 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 4 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 5 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 6 | R=2.000 | zoom=0.50 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 9 | R=3.000 | zoom=1.00 | lambda=0.025 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 11 | R=3.000 | zoom=0.67 | lambda=0.008 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 12 | R=1.992 | zoom=0.50 | lambda=0.008 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
TCGA-18-4083-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=0.000 | eps=1.000
